Year,Geography,Geography Type,Indicator,Value,Value Type
2013,Cumberland,County,Hydrocodone,39938,Count
2013,Cumberland,County,Oxycodone,29108,Count
2013,Cumberland,County,Tramadol,8407,Count
2013,Cumberland,County,All Benzodiazepines,7325,Patients
2013,Cumberland,County,Alprazolam,3769,Patients
2013,Cumberland,County,Clonazepam,1098,Patients
2013,Cumberland,County,Diazepam,1355,Patients
2013,Cumberland,County,Lorazepam,1299,Patients
2013,Cumberland,County,All Opioids for Pain,18752,Patients
2013,Cumberland,County,Hydrocodone,12278,Patients
2013,Cumberland,County,Oxycodone,6183,Patients
2013,Cumberland,County,Tramadol,3055,Patients
2013,Cumberland,County,All Benzodiazepines,712,Rate
2013,Cumberland,County,Alprazolam,374,Rate
2013,Cumberland,County,Clonazepam,98,Rate
2013,Cumberland,County,Diazepam,86,Rate
2013,Cumberland,County,Lorazepam,98,Rate
2013,Cumberland,County,All Opioids for Pain,1650,Rate
2013,Cumberland,County,Hydrocodone,695,Rate
2013,Cumberland,County,Oxycodone,507,Rate
2013,Cumberland,County,Tramadol,146,Rate
2013,Davidson,County,All Benzodiazepines,271388,Count
2013,Davidson,County,Alprazolam,113102,Count
2013,Davidson,County,Clonazepam,56723,Count
2013,Davidson,County,Diazepam,40656,Count
2013,Davidson,County,Lorazepam,39083,Count
2013,Davidson,County,All Opioids for Pain,619093,Count
2013,Davidson,County,Hydrocodone,332166,Count
2013,Davidson,County,Oxycodone,131196,Count
2013,Davidson,County,Tramadol,64894,Count
2013,Davidson,County,All Benzodiazepines,58161,Patients
2013,Davidson,County,Alprazolam,24210,Patients
2013,Davidson,County,Clonazepam,11548,Patients
2013,Davidson,County,Diazepam,13445,Patients
2013,Davidson,County,Lorazepam,11006,Patients
2013,Davidson,County,All Opioids for Pain,165561,Patients
2013,Davidson,County,Hydrocodone,115357,Patients
2013,Davidson,County,Oxycodone,47544,Patients
2013,Davidson,County,Tramadol,28958,Patients
2013,Davidson,County,All Benzodiazepines,412,Rate
2013,Davidson,County,Alprazolam,172,Rate
2013,Davidson,County,Clonazepam,86,Rate
2013,Davidson,County,Diazepam,62,Rate
2013,Davidson,County,Lorazepam,59,Rate
2013,Davidson,County,All Opioids for Pain,940,Rate
2013,Davidson,County,Hydrocodone,504,Rate
2013,Davidson,County,Oxycodone,199,Rate
2013,Davidson,County,Tramadol,99,Rate
2013,DeKalb,County,All Benzodiazepines,17993,Count
2013,DeKalb,County,Alprazolam,7973,Count
2013,DeKalb,County,Clonazepam,2211,Count
2013,DeKalb,County,Diazepam,3151,Count
2013,DeKalb,County,Lorazepam,3419,Count
2013,DeKalb,County,All Opioids for Pain,37149,Count
2013,DeKalb,County,Hydrocodone,21145,Count
2013,DeKalb,County,Oxycodone,8016,Count
2013,DeKalb,County,Tramadol,2640,Count
2013,DeKalb,County,All Benzodiazepines,2890,Patients
2013,DeKalb,County,Alprazolam,1184,Patients
2013,DeKalb,County,Clonazepam,393,Patients
2013,DeKalb,County,Diazepam,674,Patients
2013,DeKalb,County,Lorazepam,738,Patients
2013,DeKalb,County,All Opioids for Pain,6793,Patients
2013,DeKalb,County,Hydrocodone,5033,Patients
2013,DeKalb,County,Oxycodone,1836,Patients
2013,DeKalb,County,Tramadol,1046,Patients
2013,DeKalb,County,All Benzodiazepines,939,Rate
2013,DeKalb,County,Alprazolam,416,Rate
2013,DeKalb,County,Clonazepam,115,Rate
2013,DeKalb,County,Diazepam,164,Rate
2013,DeKalb,County,Lorazepam,178,Rate
2013,DeKalb,County,All Opioids for Pain,1938,Rate
2013,DeKalb,County,Hydrocodone,1103,Rate
